text_clean,label_final
"заказали 14.10.2017 , получили 25.10.2017 на мой размер 42, широкий как мешок. надо было все таки размер s заказать. по поводу качества хороший пуховик. мех натуральный , съемный. буду продавать .",одежда
"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой м, заказала л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.",одежда
все отлично!!!,одежда
"рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё",одежда
"плохо!!!низ рваный..деньги не вернули!открыла спор,но его почему то закрыли",украшения и аксессуары
"обычная майка с ужасным запахом, есть косяки на белой надписи как краска",одежда
"все как на фото, и цвет и форма.",одежда
"но рост 180 по колено,качество хорошее,доставка быстрая",украшения и аксессуары
не подошло по размеру. ткань тоже не понравилась,одежда
"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес",электроника
"брак,очень растроенна",одежда
криво пошита ткань. большой размер.,одежда
"отвратительное качество материала. продавец обещает хлопок, а пришла голая синтетика. сильный запах.",товары для детей
"качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, но, размер просто капелюшчный, на 44 размер xxl еле, еле подошёл. я заказала 3xl, а прислали 2xl, открыла спор, никак не решили проблему. очень обидно.",нет товара
"товар не получила, деньги не вернули!",товары для детей
"супер!!! очень красивая блузка, качество отличное, смотрится замечательно. принёс курьер домой   ",одежда
"качество хорошее, большой вырез ссади",одежда
"товар так и не пришел. заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.",нет товара
ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,одежда
"это вторая, обе s, но разница видна. и пришлось взять в руки иголку, так как были косяки. но они очень удобны и комфортные для работы.",одежда
"доставка 2 месяца до смоленска. ткань голая синтетика. пуговицы еле держатся. на параметры ог 91, от 68, плечи 40 размер м в самый раз.",бытовая техника
"заказала размер l,чтобы было свободно сама ношу s .по факту штаны на наш размер s,очень тугая резинка, кофта на наш размер m.про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика ",одежда
"отличные штаны, очень тёплые. доставка 3 недели. на объем бедер 104 см отлично подошёл размер xxl .",одежда
"цвет черный а не темно синий , обидно. шапка хорошая.",одежда
блузка очень хорошего качества. доставка меньше месяца. всем довольна.,одежда
"качество ткани хорошее.в блузке есть 1 большой минус не симетричны сделаны складки .должны быть по центру ,а они с боку т.е.брак.продовец по общению хороший.по размеру идеально.",одежда
"я думала, что свитер будет более толстым , а на самом деле он тонкий. свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . продавец положил подарочек и ароматизаторы с запахом роз",одежда
"ткань очень тонкая,платье смотрится совсем по-другому",одежда
"на 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый",одежда
заказ не пришёл! деньги не вернули,украшения и аксессуары
"футболка классная! маловата немного, берите на размер больше! шла около месяца",одежда
