text,label
"Товар не понравился. У меня не очень крупные ноги и в комментариях я прочитала что они тянутся, размер всегда носила s,в общем и заказала s, оказались очень велики, я не довольна покупкой.",обувь
"КУРТКА НА теплую ОСЕНЬдо +12 ,но к сожалению оказался мал в груди,тесно",нет товара
"на рост 163 и 44р брала L.По размеру вроде нормально,но талия высоко,платье очень короткое,особенно полклад.Буду сама переделывать.Так материал мягкий,цвет как заявлен.Доставка быстрая.Платье на очень маленький рост не выше 150",одежда
заказать надо было на размер меньше,обувь
"ТОВАР НЕ ПОЛУЧИЛА , ПРОДОВЕЦ НЕ ХОЧЕТ ОБЩАТЬСЯ , ДЕНЕГ СВОИХ НЕ МОГУ ВЕРНУТЬ . У ЭТОГО ПРОДОВЦА НЕ ЗАКАЗЫВАЙТЕ  НЕ ТОВАРА НЕ ДЕНЕГ .",нет товара
"очень долго продавец уверял меня, что она придет, но она не пришла... если придёт, отзыв исправлю.защита заказа кончилась, спор не открыть. ни денег - ни вещи.",нет товара
"Футболка нормальная, размер подошел.",нет товара
Очень качественная.,бытовая техника
Ужасное качество.  Размер прислали меньше,обувь
Great. thanks,нет товара
"странно сшита.написано капюшон— его там и в помине нет,просто трубой",одежда
"сидит прекрасно,пришёл быстро и
 без запаха",одежда
"ужасный костюм,который ужасно маломерит,да и просвечивает",одежда
"Ткань адская синтетика а длинна 
чуть ниже футболки",текстиль
"других цветов ещё более-менее,а серая ,просто ужасна!Тонкая,но это не главное,она,в добавок какая-то неприятная к телу,низкокачественная синтетика,от неё всё тело чешется!",одежда
"Продавец отправил достаточно быстро. Ткань синтетическая. Есть небольшой брак,в виде полоски, которая не отстирывается...",текстиль
"заказ так и не пришел,спор одобрен,но деньги так и не вернули.",нет товара
"Посылка пришла быстро за 15 дней, на ог 98 и от 88 рост 165 взяла ххl - грудь и плечи впритык, рукава немного маловаты. Материал плотный, похож на фланельку.",нет товара
"Платье неплохое,по размеру. Но на белой части пятна,которые ни чем не удалить.",нет товара
"Рубашка красивая, сидит отлично. Но вот на рукаве пятна жёлтые , как от масла, не отстирываются.",одежда
"Пришла кофточка бытро,меньше чем за 2 недели. Качество отличное,тоненькая,но теплая на флисе ,легонькая. Мишки прошиты. На 48-50 рус самое то. Рекомендую.",нет товара
"Сшит хорошо, но материал - голимая синтетика",нет товара
Везде торчат нитки и есть желтое пятно,текстиль
"Приятная,мягкая.Полоски яркие. На 42-44  М-ка хорошо и даже рукава не коротки.",нет товара
"Заказала в июне. До сих пор не получила заказ. Заказывала две кофточки. Наверное, уже можно не ждать!",нет товара
покупайте обязательно. всем советую.это находка.все спрашивают где я купила,товары для детей
заказала 8.08. пришла 06.09. на мои ог 90 от 75 об 100 L в самый раз. рукав на тонкую руку. перешивала пуговицы. блузкой очень довольна.,одежда
"Принты, причем только с верхней стороны. Первые 3-4 раза лучше стирать в дали от другой одежды.",нет товара
"Продавец провтыкал сроки доставки дошло до спора и бац товар прилетел спор отменил.
Брал ребенку так что не смотрите на рост и вес ))",товары для детей
"Все бы ничего, колготки вроде неплохие. Но одно но, верх черные шортики, которые совсем ни к чему. Получается черный низ, светлая середина и черный верх. С коротким такой вариант не одеть.",нет товара
"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально.",нет товара
Качество материала просто ужасное. Не стоит своих денег.На рукавах отсутствуют бусины,текстиль
Спасибо за платье.Отличное. По размеру подошло.,нет товара
"не 5 х совершенно. на 48 русский тянет.
 качество слабое. у китайцев на рынке такой купила бы дешевле",одежда
"Отличная майка! Нитки не торчат, пришла быстро ! Закажу еще!",нет товара
"Второй раз заказываю у этого продавца, первый раз все прошло замечательно, пришли быстро, хорошего качества.В этот раз не повезло, все в дырках, потертостях. Пришли быстро за 2 недели. Открыла спор вернули всю сумму.",одежда
"все было хорошо,но там было целых 2 дырки,!
ужас какой то!",одежда
отвратительно. товар.хоть продавец клялся и божился.но так и не пришел. жду денег после спора. категорически нет,нет товара
Вместо L пришёл XXL. А так качество хорошее.,одежда
"Заказали размер  М на 46, оказалось мало. У них М как как у нас XS (42). Куртка для детей, нет выточки под грудь.",товары для детей
"Ждала три месяца, вернули деньги, товар так и не пришел",нет товара
"Пальто симпатичное, но для русской зимы не годится. Тонкая ткань, без всякого утепления.",одежда
"Футболочка отличная!На нашивке были маленькие ниточки,но в целом кач-во хорошое",одежда
"у очков в белой оправе было деформировано стекло, все как будто ""плывет ",украшения и аксессуары
Спасибо.Отличная водолазка.Очень быстрая доставка .Подошла на размер 44-46.,одежда
я ношу размер 42-44 советую заказывать L. качество отличное.,обувь
Юбка отличная! В Приморский край пришла через месяц с момента заказа.  На свои параметры 69 -96 заказала L. Рекомендую.,одежда
"Очень красивое платье, рекомендую. Немного большевато в груди. Одеваю топ",нет товара
"Очень хорошо,мне понравилось!!!На размер150 очень хорошо подшла М.Но есть недочоты копюшон маленький,и на нем есть пятнышко.Но его легко постерать.А так все хорошо",нет товара
Пришли уже в полинявшем состоянии...носить невозможно,текстиль
"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.",нет товара
"на мой рост 173 немножко коротковаты, но!!! их бархатистость меня очень порадовала. Класс!!! очень хорошо тянуться.",одежда
"Хорошее качество, быстрая доставка. Очень большой по размеру.",бытовая техника
"соответствует описанию, не много просвечивает. на размер 50 брала хххл как в литой, можно и больше. цвет супер, слабо пришиты пуговицы пришивали снова т.к на рукавах поотрывались сразу ещё не одев.",нет товара
"Товар не пришёл . Деньги не вернули ещё , продавец не ответил на спор",нет товара
"На 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый",нет товара
"Защиту не продлили,товар не получила！Буду открывать спор(.Очень жаль",нет товара
"отличные штаны, заказала сестре, идеально подошли.",одежда
"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда
Не подошел размер,обувь
"Качество нанесения рисунка не очень, есть косяки.",товары для детей
товар не пришел продавец деньги вернул,нет товара
Качество хорошее. Цвет ягод как на картинке. Швы ровные.,нет товара
За 4 месяца товар так и не дошел до покупателя.,нет товара
